latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.98297,-60.68816,303.66,2.16,1.43,2022-04-29,0206,T,46,6.1NRT,293.49,13.15,N
-15.98398,-60.69334,308.47,2.16,1.43,2022-04-29,0206,T,75,6.1NRT,293.53,24.21,N
-15.5451,-57.61213,307.5,1.29,1.13,2022-04-29,0206,T,72,6.1NRT,293.56,10.25,N
-16.01725,-62.04767,307.09,2.75,1.59,2022-04-29,0206,T,70,6.1NRT,290.63,32.23,N
-15.41757,-60.73833,310.76,2.14,1.42,2022-04-29,0206,T,81,6.1NRT,293.98,28.28,N
-15.41985,-60.75813,327.19,2.15,1.42,2022-04-29,0206,T,100,6.1NRT,294.73,75.41,N
-13.62254,-53.03564,311.6,1.07,1.03,2022-04-29,0206,T,83,6.1NRT,292.76,11.24,N
-13.62402,-53.0455,306.75,1.07,1.03,2022-04-29,0206,T,69,6.1NRT,292.57,7.49,N
-13.61702,-53.04306,319.52,1.07,1.03,2022-04-29,0206,T,99,6.1NRT,292.98,18.69,N
-13.92174,-58.19374,310.79,1.34,1.15,2022-04-29,0206,T,81,6.1NRT,291.07,15.87,N
-13.92332,-58.20608,309.26,1.34,1.15,2022-04-29,0206,T,77,6.1NRT,291.2,14.23,N
-13.61841,-56.43872,305.89,1.08,1.04,2022-04-29,0206,T,66,6.1NRT,293.29,7.24,N
-13.56912,-56.49649,304.81,1.08,1.04,2022-04-29,0206,T,53,6.1NRT,293.7,5.87,N
-13.55847,-56.48791,305.23,1.08,1.04,2022-04-29,0206,T,63,6.1NRT,293.59,6.14,N
-13.58251,-56.92538,336.88,1.13,1.06,2022-04-29,0206,T,100,6.1NRT,294.46,45.85,N
-13.9507,-60.19045,305.7,1.85,1.33,2022-04-29,0206,T,65,6.1NRT,292.49,14.41,N
-13.9455,-60.19649,306.19,1.85,1.33,2022-04-29,0206,T,67,6.1NRT,292.59,14.7,N
-13.2925,-56.67256,304.55,1.1,1.04,2022-04-29,0206,T,61,6.1NRT,293.12,6.49,N
-12.9905,-55.08575,306.68,1,1,2022-04-29,0206,T,69,6.1NRT,292.32,7.27,N
-13.18738,-56.85883,305.54,1.11,1.05,2022-04-29,0206,T,65,6.1NRT,293.43,7.43,N
-12.73638,-55.17331,334.1,1,1,2022-04-29,0206,T,100,6.1NRT,294.29,33.9,N
-12.73767,-55.18247,345.34,1,1,2022-04-29,0206,T,100,6.1NRT,295.31,52.58,N
-12.72809,-55.18037,325.42,1,1,2022-04-29,0206,T,100,6.1NRT,293.68,23.33,N
-12.89324,-57.1134,308.11,1.13,1.06,2022-04-29,0206,T,74,6.1NRT,293.99,9.44,N
-13.10634,-59.06256,314.11,1.49,1.21,2022-04-29,0206,T,89,6.1NRT,293,23.13,N
-13.10804,-59.07615,305.04,1.49,1.21,2022-04-29,0206,T,63,6.1NRT,292.7,11.65,N
-12.48999,-57.205,305.84,1.14,1.06,2022-04-29,0206,T,66,6.1NRT,294.03,7.21,N
-12.42402,-57.25203,313.39,1.14,1.06,2022-04-29,0206,T,87,6.1NRT,294.43,13.8,N
-12.42541,-57.26243,314.43,1.14,1.06,2022-04-29,0206,T,89,6.1NRT,295.03,14.56,N
-11.70134,-54.48841,306.65,1.01,1.01,2022-04-29,0206,T,69,6.1NRT,292.44,6.71,N
-12.06823,-57.26279,304.46,1.13,1.06,2022-04-29,0206,T,60,6.1NRT,293.47,6.57,N
