latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-26.06332,29.23213,304,0.62,0.71,2023-04-26,0007,1,nominal,2.0NRT,287.28,4.21,N
-26.06697,29.28864,295.42,0.63,0.72,2023-04-26,0007,1,nominal,2.0NRT,281.03,0.84,N
-26.06105,29.23552,303.36,0.62,0.71,2023-04-26,0007,1,nominal,2.0NRT,287.54,3.85,N
-26.26563,28.83706,298.39,0.59,0.7,2023-04-26,0007,1,nominal,2.0NRT,281.69,1.51,N
-26.26542,28.83682,301.17,0.59,0.7,2023-04-26,0007,1,nominal,2.0NRT,282.26,1.26,N
-26.53978,29.15646,316.65,0.62,0.71,2023-04-26,0007,1,nominal,2.0NRT,283.52,5.8,N
-26.54602,29.14961,318.49,0.62,0.71,2023-04-26,0007,1,nominal,2.0NRT,285.91,5.22,N
-26.5608,29.17337,295.85,0.62,0.72,2023-04-26,0007,1,nominal,2.0NRT,285.65,4.09,N
-26.72018,27.94669,299.9,0.52,0.67,2023-04-26,0007,1,nominal,2.0NRT,286.73,1.57,N
-26.80628,27.85655,300.3,0.52,0.67,2023-04-26,0007,1,nominal,2.0NRT,287.58,1.59,N
35.7098,4.47561,308.68,0.39,0.36,2023-04-26,0130,1,nominal,2.0NRT,289.23,0.62,N
36.12858,1.2447,305.91,0.47,0.4,2023-04-26,0130,1,nominal,2.0NRT,291.35,1.08,N
35.34781,5.76023,326.92,0.39,0.36,2023-04-26,0130,1,nominal,2.0NRT,287.87,1.81,N
35.8959,0.66753,297.11,0.5,0.41,2023-04-26,0130,1,nominal,2.0NRT,286.68,0.43,N
35.09677,5.64621,317.37,0.39,0.36,2023-04-26,0130,1,nominal,2.0NRT,293.81,1.54,N
33.85947,12.05713,308.52,0.46,0.47,2023-04-26,0130,1,nominal,2.0NRT,267.44,1.3,N
35.80994,-0.23589,323.33,0.54,0.42,2023-04-26,0130,1,nominal,2.0NRT,290.86,2.64,N
35.8139,-0.27203,298.91,0.55,0.42,2023-04-26,0130,1,nominal,2.0NRT,287.24,1.08,N
35.80803,-0.25456,330.81,0.55,0.42,2023-04-26,0130,1,nominal,2.0NRT,290.98,4.69,N
35.8067,-0.2425,304.47,0.55,0.42,2023-04-26,0130,1,nominal,2.0NRT,289.67,1.89,N
35.80406,-0.2184,301.77,0.54,0.42,2023-04-26,0130,1,nominal,2.0NRT,289.58,1.47,N
34.98299,5.71617,320.28,0.39,0.36,2023-04-26,0130,1,nominal,2.0NRT,294.47,3.02,N
35.76838,-0.25468,303.82,0.55,0.42,2023-04-26,0130,1,nominal,2.0NRT,289.87,1.58,N
35.76797,-0.25486,306.85,0.55,0.42,2023-04-26,0130,1,nominal,2.0NRT,290.14,2.33,N
35.63014,0.5995,314.39,0.5,0.41,2023-04-26,0130,1,nominal,2.0NRT,289.43,1.17,N
35.52786,-0.27807,302.31,0.54,0.42,2023-04-26,0130,1,nominal,2.0NRT,287.59,1.71,N
35.56712,-0.93657,306.64,0.39,0.44,2023-04-26,0130,1,nominal,2.0NRT,288.6,1.02,N
32.62514,14.32817,305.5,0.33,0.55,2023-04-26,0130,1,nominal,2.0NRT,287.61,0.77,N
32.62432,14.33156,299.24,0.33,0.55,2023-04-26,0130,1,nominal,2.0NRT,287.9,0.94,N
32.33292,15.24575,302.51,0.38,0.58,2023-04-26,0130,1,nominal,2.0NRT,287.51,0.43,N
32.32901,15.24436,297.46,0.38,0.58,2023-04-26,0130,1,nominal,2.0NRT,285.57,0.7,N
30.89967,20.08338,301.38,0.77,0.77,2023-04-26,0130,1,nominal,2.0NRT,283.44,0.97,N
30.89449,20.08263,304.6,0.77,0.77,2023-04-26,0130,1,nominal,2.0NRT,283.65,1.62,N
32.7893,12.6749,301.96,0.52,0.5,2023-04-26,0130,1,nominal,2.0NRT,288.16,1.11,N
